guid,fire_dept_name,hq_addr_1,hq_addr2,hq_city,hq_state,hq_zip,mail_addr1,mail_addr2,mail_po_box,mail_city,mail_state,mail_zip,hq_phone,hq_fax,county,dept_type,organization_type,website,number_of_stations,active_firefighters_career,active_firefighters_volunteer,active_firefighters_paid_per_call,non_firefighting_civilian,non_firefighting_volunteer,primary_agency_for_em
189,Ahoskie Rural Fire Department,609 W Main ST,,Ahoskie,NC,27910,,,PO Box 43,Ahoskie,NC,27910,(252) 332-4011,,HERTFORD                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,26,200,0,6,
190,Aid TWP Volunteer Fire Department  Inc.,14110 State RT 141,,Willow Wood,OH,45696,14110 State RT 141,,,Willow Wood,OH,45696,(740) 643-2198,,LAWRENCE                 ,Volunteer,Contract fire department,,2,0,16,0,0,0,
191,Aiken County Hazmat Team,828 Richland AVE W,,Aiken,SC,29801,828 Richland AVE W,,,Aiken,SC,29801,(803) 642-1624,,AIKEN                    ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.hazmatteam.com/,1,10,30,0,1,0,
192,Aiken Department of Public Safety,251 Laurens  ST NW,PO Box 1177,Aiken,SC,29801,251 Laurens  ST NW,PO Box 1177,,Aiken,SC,29801,(803) 642-7620,(803) 642-7681,AIKEN                    ,Mostly Career,Local (includes career  combination  and volunteer),http://adps.aiken.net,4,86,33,0,16,0,
193,Ailey Fire Department,100 S Railroad ST,PO Box 9,Ailey,GA,30410,100 S Railroad ST,,PO Box 9,Ailey,GA,30410,(912) 538-4091,(912) 583-4281,MONTGOMERY               ,Volunteer,Local (includes career  combination  and volunteer),,1,0,10,0,0,0,
194,Ainsworth Fire Department,Highway 92,PO Box 128,Ainsworth,IA,52201,,,PO Box 128,Ainsworth,IA,52201-0128,319-657-2863,,WASHINGTON               ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,1
195,Ainsworth Volunteer Fire Department,148 W 4th ST,Box,Ainsworth,NE,69210,148 W 4th ST,Box,P.O. Box 425,Ainsworth,NE,69210,402-387-0433,402-387-1015,BROWN                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,36,0,0,0,
196,Air Force Plant 42 Fire Department,2501 E Avenue P,,Palmdale,CA,93551,2501 E Avenue P,,,Palmdale,CA,93551,(661) 272-6637,(661) 272-6635,LOS ANGELES              ,Career,Contract fire department,,2,52,0,0,0,0,
197,Airport-Sorgho Fire Department,6724 Highway 56,,Owensboro,KY,42301,,,PO Box 21285,Owensboro,KY,42304-1285,270-771-4914,270-771-4108,DAVIESS                  ,Volunteer,Local (includes career  combination  and volunteer),http://www.airportsorghofd.com/,1,0,32,0,0,0,0
198,Airville Volunteer Fire Company,34 Fire Company RD,,Airville,PA,17302,34 Fire Company RD,,,Airville,PA,17302,(717) 762-3806,,YORK                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,56,0,0,22,
199,Airway Heights Fire Department,1208 S Lundstrom,PO Box 969,Airway Heights,WA,99001-0969,1208 S Lundstrom,,PO Box 969,Airway Heights,WA,99001-0969,(509) 244-3322,(509) 244-6434,SPOKANE                  ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,2,0,35,0,0,
200,Aitkin Fire Department,109 First ST NW,,Aitkin,MN,56431,109 First ST NW,,,Aitkin,MN,56431,(218) 927-3303,,AITKIN                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,32,0,0,
201,AK Steel Plant Protection,100 Armco DR,PO Box 832,Butler,PA,16003,100 Armco DR,PO Box 832,,Butler,PA,16003,(724) 284-2236,(724) 284-2409,BUTLER                   ,Career,Private or industrial fire  brigade,,1,27,0,0,0,0,
202,Ak-Chin Indian Community Fire Department,42507 W Peters and Nall RD,,Maricopa,AZ,85239,42507 W Peters and Nall RD,,,Maricopa,AZ,85239,(520) 568-2258,(520) 568-0023,PINAL                    ,Mostly Career,Tribal,,1,15,0,12,1,0,
203,Akhiok Volunteer Fire Department,ATTN: UPSO Simeonoff,PO Box 5058,Akhiok,AK,99615-5058,ATTN: UPSO Simeonoff,,PO Box 5058,Akhiok,AK,99615-5058,(907) 836-2213,(907) 836-2214,KODIAK ISLAND            ,Volunteer,Local (includes career  combination  and volunteer),,1,0,5,0,5,0,
204,Akron Columbia Wisner Unionville Fire,6456 Merry ST,PO Box 273,Unionville,MI,48767,,,PO Box 273,Unionville,MI,48767-0273,989-674-2491,,TUSCOLA                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,16,0,4,0
205,Akron Fire Company  Inc.,1 Main ST,,Akron,NY,14001,1 Main ST,,P.O. Box 1,Akron,NY,14001,716-542-9091,716-542-3828,ERIE                     ,Volunteer,Local (includes career  combination  and volunteer),www.akronfireco.com,1,0,72,0,0,0,
206,Akron Fire Department,140 S 2nd ST,PO Box 318,Akron,IA,51001,140 S 2nd ST,PO Box 318,,Akron,IA,51001,(712) 568-2041,(712) 568-2122,PLYMOUTH                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,
207,Akron Fire Department,146 S High ST,10th Fl,Akron,OH,44308-1435,146 S HIGH ST,10th Fl,,AKRON,OH,44308-1435,330-375-2411,330-375-2146,SUMMIT                   ,Career,Local (includes career  combination  and volunteer),http://ci.akron.oh.us/fire.html,13,392,0,0,28,0,
208,Akron Volunteer Fire Department,201 E 1st ST,,Akron,CO,80720-1503,201 E 1st ST,,,Akron,CO,80720-1503,970-345-2600,,WASHINGTON               ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,5,
209,Akron Volunteer Fire Department,181 1ST AVE S,,Akron,AL,35441-0175,181 1ST AVE S,,PO Box 175,Akron,AL,35441-0175,205-372-2585,,HALE                     ,Volunteer,,,1,0,24,0,0,0,
210,Akron-Princeville Fire Protection District,240 E Mail ST,PO Box 504,Princeville,IL,61559-0504,240 E Mail ST,,PO Box 504,Princeville,IL,61559-0504,(309) 385-4913,(309) 385-4589,PEORIA                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,30,0,0,0,
211,Akutan Department of Public Safety,PO Box 111,,Akutan,AK,99553,,,PO Box 111,Akutan,AK,99553-0111,907-698-2315,907-698-2279,ALEUTIANS EAST           ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,1,12,1,12,10,1
212,Alabama Aircraft Fire Crash Rescue,1943 50TH ST N,,Birmingham,AL,35212,1943 50TH ST N,,,Birmingham,AL,35212-1007,205-510-4846,205-510-4867,JEFFERSON                ,Career,Industrial Airport Fire Crash,http://www.alabamaaircraft.com/,1,15,0,0,0,0,0
213,Alabama Port Volunteer Fire Department,3290 Highway 188,PO Box 160,Coden,AL,36523,,,PO Box 160,Coden,AL,36523-0160,251-873-4854,252-873-4854,MOBILE                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,15,1
214,Alabama-Coushatta Indian Nation Fire Department,571 State Park Road 56,,Livingston,TX,77351-4540,571 State Park Road 56,,,Livingston,TX,77351-4540,936-563-1200,936-563-2490,POLK                     ,Volunteer,SOVERGN INDIAN NATION,,1,0,18,0,0,20,
215,Alabaster Fire & Rescue Service,890 1ST AVE W,,Alabaster,AL,35007,890 1ST AVE W,,,Alabaster,AL,35007-9708,205-664-6818,205-664-6843,SHELBY                   ,Career,Local (includes career  combination  and volunteer),,3,55,0,0,0,0,1
216,Alachua County Fire Rescue Services,913 SE 5 ST,,Gainesville,FL,32601,913 SE 5 ST,,PO Box 548,Gainesville,FL,32602,(352) 384-3101,(352) 384-3159,ALACHUA                  ,Mostly Career,Local (includes career  combination  and volunteer),http://www.firerescue.alachua.fl.us/,11,142,45,0,34,12,
217,Alakanuk Fire Department,PO Box 167,,Alakanuk,AK,99554-0167,,,PO Box 167,Alakanuk,AK,99554-0167,907-238-3421,907-238-3299,WADE HAMPTON             ,Volunteer,Local (includes career  combination  and volunteer),,1,0,4,0,0,0,
218,Alamance Community Fire District  Inc.,4107 Presbyterian RD,,Greensboro,NC,27406,4107 Presbyterian RD,,,Greensboro,NC,27406,(336) 697-0572,(336) 697-7392,GUILFORD                 ,Mostly Volunteer,Local (includes career  combination  and volunteer),,2,6,40,0,0,0,
219,Alameda County Fire Department,835 E 14th ST,Suite 200,San Leandro,CA,94577-3767,835 E 14th ST,Suite 200,,San Leandro,CA,94577-3767,(510) 618-3490,(510) 618-3445,ALAMEDA                  ,Mostly Career,Local (includes career  combination  and volunteer),http://www.co.alameda.ca.us/fire/index.shtml,19,225,50,0,18,0,
220,Alamo Fire Department,105 E Commerce ST,PO Box 646,Alamo,GA,30411,,,PO Box 646,Alamo,GA,30411-0646,(912) 568-7153,(912) 568-1928,WHEELER                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,0,
221,Alamo Fire Department,125 S Alamo RD,,Alamo,TX,78516,125 S 9TH ST,,,Alamo,TX,78516-2525,956-787-5787,956-787-0818,HIDALGO                  ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,7,18,0,0,0,
222,Alamo Heights Fire Department,6116 Broadway ST,,Alamo Heights,TX,78209-4545,6116 Broadway ST,,,Alamo Heights,TX,78209-4545,210-824-1281,210-828-3006,BEXAR                    ,Career,Local (includes career  combination  and volunteer),http://www.ci.alamo-heights.tx.us,1,28,0,0,0,0,
223,Alamo Rural Fire Protection District,13257 75TH ST,PO Box 36,Alamo,ND,58830-9574,,,PO Box 36,Alamo,ND,58830-0036,(701) 528-3662,(701) 577-6844,WILLIAMS                 ,Volunteer,Local (includes career  combination  and volunteer),,2,0,31,0,0,14,
224,Alamo Springs Volunteer Fire Department,139 Hope RD #A,,Fredericksburg,TX,78624-6135,139 Hope RD #A,,,Fredericksburg,TX,78624-6135,(830) 990-1460,,GILLESPIE                ,Volunteer,Local (includes career  combination  and volunteer),,1,0,5,0,0,3,
225,Alamo Township Fire and Rescue Department,7840 N Sixth ST,,Kalamazoo,MI,49009-8871,7840 N Sixth ST,,,Kalamazoo,MI,49009-8871,(269) 345-3010,,KALAMAZOO                ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,22,0,2,
226,Alamo Volunteer Fire Department,140 E Park ST,,Alamo,TN,38001-1725,74 E Park ST,,,Alamo,TN,38001-1765,731-696-4515,731-696-4045,CROCKETT                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,23,0,0,
227,Alamo West Fire Rescue,23 El Paso Drive,,Alamogordo,NM,88310,23 El Paso Drive,,,Alamogordo,NM,88310,(505) 434-3686,,OTERO                    ,Volunteer,Local (includes career  combination  and volunteer),http://www.fire-ems.net/firedept/view/Alamogordo2NM,2,0,26,0,0,1,
228,Alamosa Fire Department,421 Fourth ST,,Alamosa,CO,81101,421 Fourth ST,,PO Box 419,Alamosa,CO,81101,(719) 589-2593,,ALAMOSA                  ,Volunteer,Local (includes career  combination  and volunteer),,2,0,0,27,0,0,
229,Alanson- Littlefield Fire Department,6200 West ST,PO Box 442,Alanson,MI,49706,,,PO Box 442,Alanson,MI,49706-0442,231-548-5646,231-548-3609,EMMET                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,28,0,0,1
230,Alapaha Fire Department,E Railroad ST,PO Box 385,Alapaha,GA,31622,,,PO Box 385,Alapaha,GA,31622-0385,(229) 532-6401,(229) 532-7474,BERRIEN                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,0,0,0,
231,Alarka Volunteer Fire Department Inc.,unknown,,Bryson City,NC,28713,,,PO Box 2028,Bryson City,NC,28713,828-488-4144,828-488-4144,SWAIN                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,21,0,0,0,
232,Alaska Volunteer Fire Department,28987 Alaska LN NW,,Puposky,MN,56667,28987 Alaska LN NW,,,Puposky,MN,56667,(218) 243-2785,,BELTRAMI                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,0,
233,Alba Fire Department,PO Box 224,,Alba,MI,49611-0224,,,PO Box 224,Alba,MI,49611-0224,231-584-2100,231-584-2103,ANTRIM                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,16,0,0,6,1
234,Alba Volunteer Fire Department,PO Box 197,,Alba,TX,75410-0197,,,PO Box 197,Alba,TX,75410-0197,903-765-3170,,WOOD                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,1,
235,Albany Area Volunteer Fire Department,5533 Fire Department LN,,Albany,OH,45710-9556,5533 Fire Department LN,,,Albany,OH,45710-9556,740-698-7286,740-698-6019,ATHENS                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,27,0,0,2,
236,Albany Community Fire Protection District,23 Century CIR,,Albany,MO,64402,,,PO Box 31,Albany,MO,64402,660-726-3030,660-726-3487,GENTRY                   ,Volunteer,Local (includes career  combination  and volunteer),,2,0,0,20,0,0,
237,Albany Community Volunteer Fire Department,205 N Mechanic ST,,Albany,WI,53502-0092,,,PO Box 92,Albany,WI,53502-0092,608-862-3919,,GREEN                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,27,0,0,0,
238,Albany County Firefighters,2920 County Shop Road,,Laramie,WY,82070,2920 County Shop Road,,,Laramie,WY,82070,(307) 742-2534,(307) 721-2539,ALBANY                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,41,140,0,0,0,
239,Albany Fire Department,221 4TH ST,,Albany,MN,56307,,,PO Box 1,Albany,MN,56307-0001,320-845-4040,320-845-6843,STEARNS                  ,Volunteer,Local (includes career  combination  and volunteer),http://www.ci.albany.mn.us/,1,0,0,25,0,0,1
240,Albany Fire Department,1000 San Pablo AVE,,Albany,CA,94706,1000 San Pablo AVE,,,Albany,CA,94706-2226,510-528-5778,510-528-5774,ALAMEDA                  ,Career,Local (includes career  combination  and volunteer),http://www.albanyca.org/,1,20,0,0,0,0,1
241,Albany Fire Department,320 N Jackson ST,,Albany,GA,31701,320 N Jackson ST,,,Albany,GA,31701-2584,229-431-3262,229-431-3207,DOUGHERTY                ,Mostly Career,Local (includes career  combination  and volunteer),http://www.albany.ga.us/,11,247,15,0,4,0,1
242,Albany Fire Department Station,333 Broadalbin ST SW,PO Box 490,Albany,OR,97321-0490,333 Broadalbin ST SW,,PO Box 490,Albany,OR,97321-0490,541-917-7700,541-917-7716,LINN                     ,Career,Local (includes career  combination  and volunteer),http://ci.albany.or.us,4,68,0,0,11,0,
243,Albany Fire Protection District,409 S Church ST,PO Box 314,Albany,IL,61230,409 S Church ST,,PO Box 314,Albany,IL,61230,(309) 887-4451,(309) 887-4504,WHITESIDE                ,Volunteer,Local (includes career  combination  and volunteer),,1,0,35,0,0,5,
244,Albany International Airport Fire Department,737 Albanyshaker RD,,Albany,NY,12211,737 Albanyshaker RD,,,Albany,NY,12211,(518) 242-2332,(518) 242-2620,ALBANY                   ,Career,Transportation Authority or Airport F.D.,,1,20,0,0,0,0,
245,Albany Volunteer Fire Department,unknown,,Albany,OK,74721,,,PO Box 84,Albany,OK,74721,580-920-1074,580-924-6440,BRYAN                    ,Volunteer,title 18 non-profit,,1,0,11,0,0,0,
246,Albany Volunteer Fire Department,216 N Main ST,,Albany,TX,76430,,,PO Box 1716,Albany,TX,76430,325-762-2161,,SHACKELFORD              ,Volunteer,Local (includes career  combination  and volunteer),http://www.albanyvfd.com,1,0,18,0,0,0,
247,Albany Volunteer Fire Department,Water ST,,Albany,VT,5820,2514 Chamberlin Hill RD,,,Irasburg,VT,5845,000-000-0000,,ORLEANS                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,14,0,0,0,
248,Albany-Delaware Township Volunteer Fire Department,214 E State ST,,Albany,IN,47320-1235,214 E State ST,,,Albany,IN,47320,(765) 789-6390,(765) 789-6390,DELAWARE                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,20,0,0,
249,Albee Township Fire Department,10755 East RD,,Burt,MI,48417,10755 East RD,,,Burt,MI,48417-2077,989-770-4897,989-770-4059,SAGINAW                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,17,0,0,1
250,Albemarle Fire Department,1610 E Main ST,,Albemarle,NC,28001,,,PO Box 190,Albemarle,NC,28002-0190,704-984-9700,704-984-9701,STANLY                   ,Mostly Career,Local (includes career  combination  and volunteer),,3,41,0,3,1,0,1
251,Albert J. Ellis Airport Fire Department,264 Albert J. Ellis Airport RD,,Richlands,NC,28574,264 Albert J. Ellis Airport RD,,,Richlands,NC,28574-5102,910-324-1100,910-324-1082,ONSLOW                   ,Career,Transportation Authority or Airport F.D.,http://www.onslowcountync.gov/airport/,1,6,0,0,2,0,0
252,Albert Lea Fire Department,221 E Clark ST,,Albert Lea,MN,56007,221 E Clark ST,,,Albert Lea,MN,56007,(507) 377-4340,(507) 377-4336,FREEBORN                 ,Mostly Career,Local (includes career  combination  and volunteer),,1,17,0,15,0,0,
253,Albert Lea Township Fire Department,712 E Main ST,,Albert Lea,MN,56007,712 E Main ST,,,Albert Lea,MN,56007-2971,507-213-9520,507-373-2892,FREEBORN                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,17,0,0,1
254,Albert Township/Lewiston Fire Department,4196 Salling ST,PO Box 299,Lewiston,MI,49756,4196 Salling ST,PO Box 299,,Lewiston,MI,49756,(989) 786-3900,(989) 786-1160,MONTMORENCY              ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,18,11,0,
255,Albert Volunteer Fire Department,2008 Main,,Albert,KS,67511-0045,2008 Main,,PO Box 88,Albert,KS,67511-0045,(620) 923-4665,(620) 923-4365,BARTON                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,23,0,0,0,
256,Alberta Volunteer Fire Department,49 Main ST,PO Box 268,Alberta,VA,23821,,,PO Box 268,Alberta,VA,23821-0268,434-949-7541,434-949-0760,BRUNSWICK                ,Volunteer,Local (includes career  combination  and volunteer),http://www.AlbertaFire.org,1,0,24,0,0,0,
257,Albertson Fire Company,100 I.U. Willets RD,,Albertson,NY,11507-1412,100 I.U. Willets RD,,,Albertson,NY,11507-1412,516-248-7182,516-248-0403,NASSAU                   ,Volunteer,Local (includes career  combination  and volunteer),http://www.albertsonfire.org/,2,0,62,0,2,0,
258,Albertson Volunteer Fire Department,732 Sheep Pasture RD,,Albertson,NC,28508,,,PO Box 10,Albertson,NC,28508-0010,252-569-4552,252-568-4592,DUPLIN                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,40,0,0,0,1
259,Albertville Fire & Rescue,212 S Broad ST,PO Box 1248,Albertville,AL,35950,212 S Broad ST,,PO Box 1248,Albertville,AL,35950,(256) 891-8230,(256) 891-8236,MARSHALL                 ,Career,Local (includes career  combination  and volunteer),,3,39,0,0,0,0,
260,Albertville Fire Department,11350 57TH ST NE,,Albertville,MN,55301,,,PO Box 9,Albertville,MN,55301-0009,763-497-4836,763-497-1340,WRIGHT                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,30,0,0,1
261,ALBION DEPARTMENT OF PUBLIC SAFETY,112 W CASS ST,,ALBION,MI,49224,112 W CASS ST,,,ALBION,MI,49224,(517) 629-3933,(517) 629-2609,CALHOUN                  ,Career,Local (includes career  combination  and volunteer),http://ci.albion.mi.us/adps/,1,25,0,0,6,0,
262,Albion Fire and Rescue,100 S Main,,Albion,IA,50005,,,PO Box 18,Albion,IA,50005,641-488-2799,641-488-2799,MARSHALL                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,6,
263,Albion Fire Department,38 School  ST,PO Box 579,Albion,RI,2802,38 School  ST,,PO Box 579,Albion,RI,2802,(401)''3-1242,(401)''3-1384,PROVIDENCE               ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://fdalbionri.org,1,3,0,28,1,0,
264,Albion Fire Department,105 E Market,,Albion,ID,83311,105 E Market,,,Albion,ID,83311,000-000-0000,,CASSIA                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,10,0,0,0,
265,Albion Fire Department,PO Box 88,,Albion,OK,74521-0088,,,PO Box 88,Albion,OK,74521-0088,918-563-4314,,PUSHMATAHA               ,Volunteer,Local (includes career  combination  and volunteer),,1,0,11,0,0,3,
266,Albion Fire Department,35 E Bank ST 37,,Albion,NY,14411-1209,35 E Bank ST 37,,,Albion,NY,14411-1209,585-589-4223,585-589-1218,ORLEANS                  ,Volunteer,Local (includes career  combination  and volunteer),http://www.albionnyfd.com,1,0,40,0,0,20,
267,Albion Fire Department,2nd & F  ST,PO Box 22,Albion,WA,99102,2nd & F  ST,PO Box 22,,Albion,WA,99102,(509) 332-5609,(509) 334-5503,WHITMAN                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,13,0,0,0,
268,Albion Fire Department,27 W Elm ST,,Albion,IL,62806-1016,27 W Elm ST,,,Albion,IL,62806-1016,(618) 445-3214,,EDWARDS                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,19,0,0,
269,Albion Fire Department,210 Fire Station DR,,Albion,IN,46701,210 Fire Station DR,,,Albion,IN,46701-1701,260-636-7712,260-636-6030,NOBLE                    ,Volunteer,Local (includes career  combination  and volunteer),http://www.albionfiredept.com/,1,0,5,32,0,0,0
270,Albion Volunteer Fire Department,15 Benton RD,,Albion,ME,4910,22 Main ST,,,Albion,ME,04910-6142,207-437-2183,207-437-2903,KENNEBEC                 ,Volunteer,Local (includes career  combination  and volunteer),http://www.albionfd.org/,1,0,30,0,0,3,0
271,Albion Volunteer Fire Department,PO Box 227,,Albion,NE,68620-0227,,,PO Box 227,Albion,NE,68620-0227,402-395-6501,,BOONE                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,40,0,0,0,
272,Albion Volunteer Fire Department,19 Smock AVE,,Albion,PA,16401-1113,,,PO Box 37,Albion,PA,16401-0037,814-756-4210,814-756-4607,ERIE                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,
273,Alborn Fire Department,6615 Highway 47,,Alborn,MN,55702,6615 Highway 47,,,Alborn,MN,55702-8233,218-343-2243,218-345-6917,SAINT LOUIS              ,Volunteer,Local (includes career  combination  and volunteer),,1,0,18,0,0,1,1
274,Albright Volunteer Fire Department,Firehall RD,,Albright,WV,26519,,,PO Box 171,Albright,WV,26519,304-329-3977,304-329-3982,PRESTON                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,30,
275,Alburnett Fire Department,120 N Main Avenue,,Alburnett,IA,52202-9999,120 N Main Avenue,,,Alburnett,IA,52202-9999,(319) 842-2395,(319) 842-2537,LINN                     ,Volunteer,Local (includes career  combination  and volunteer),www.alburnettfire.com,0,0,22,0,0,0,
276,Alburtis Fire Co # 1,328 S Main ST,PO Box 904,Alburtis,PA,18011-0904,328 S Main ST,PO Box 904,,Alburtis,PA,18011-0904,(610) 966-3535,(610) 966-1565,LEHIGH                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,28,0,0,0,
277,Alcester Volunteer Fire Department,1ST & Iowa ST,PO Box 534,Alcester,SD,57001-0534,,,PO Box 534,Alcester,SD,57001-0534,(605) 934-2720,,UNION                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,24,0,0,0,
278,Alcoa Fire Department,SR 66/61,BLDG 05,Newburgh,IN,47629-0010,SR 66/61,BLDG 05,,Newburgh,IN,47629-0010,(812) 853-4336,(812) 853-1300,WARRICK                  ,Mostly Volunteer,Private or industrial fire  brigade,,1,15,50,0,0,20,
279,Alcoa Technical Center Emergency Response Team,100 Technical DR,,New Kensington,PA,15069-0001,100 Technical DR,,,New Kensington,PA,15069-0001,724-337-2143,724-337-2949,WESTMORELAND             ,Mostly Volunteer,Private or industrial fire  brigade,,1,1,0,25,0,10,
280,Alcona Township Fire Department,5576 S US Highway  23,,Black River,MI,48721,5576 S US Highway  23,,,Black River,MI,48721-9716,989-727-2539,989-727-2539,ALCONA                   ,Volunteer,Local (includes career  combination  and volunteer),,3,0,0,25,0,1,0
281,Alcorn Volunteer Fire Department,2098 Alcorn -Gill RD,,Humphrey,AR,72073,818 HWY 152,,,Humphrey,AR,72073,870-873-4753,,ARKANSAS                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,7,0,0,0,
282,Alda Volunteer Fire Department,100 S Apollo St,,Alda,NE,68810,,,PO Box 100,Alda,NE,68810,308-385-5576,308-385-5658,HALL                     ,Volunteer,Local (includes career  combination  and volunteer),,2,0,20,0,0,0,
283,Alden Fire Department,174 N Broadway ST,Box 241,Alden,MN,56009,174 N Broadway ST,,PO Box 241,Alden,MN,56009,(507) 874-3620,(507) 874-3385,FREEBORN                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,
284,Alden Fire Department,1018 Water ST,,Alden,IA,50006,,,PO Box 26,Alden,IA,50006-0026,515-859-3344,515-859-3345,HARDIN                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,24,0,4,1
285,Alden Fire Department,13336 Broadway ST,,Alden,NY,14004-1375,13336 Broadway ST,,,Alden,NY,14004-1375,716-937-9216,716-937-8936,ERIE                     ,Volunteer,Local (includes career  combination  and volunteer),,2,0,85,0,0,0,
286,Alden Fire Department,104 N Pioneer ST,,Alden,KS,67512,23 Pioneer ST,,,Alden,KS,67512-9330,620-931-5476,,RICE                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,18,0,0,0,0
287,Alden Volunteer Fire Department,RR 2 Box 474,,Carnegie,OK,73015-9645,RR 2 Box 474,,,Carnegie,OK,73015-9645,580-654-2611,,CADDO                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,2,
288,Alder Fire District,29 Upper Ruby RD,,Alder,MT,59710,29 Upper Ruby RD,,P.O. Box 102,Alder,MT,59710,406-842-5908,,MADISON                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,21,0,0,0,
289,Alder Springs Volunteer Fire Department,5915 Hustleville RD,PO Box 1112,Albertville,AL,35951-0018,,,PO Box 1112,Albertville,AL,35951-0018,256-894-3473,256-894-3473,MARSHALL                 ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,1,18,0,2,1,
290,Aldie Volunteer Fire Department  Inc.,39459 John Mosbey HWY,PO Box 366,Aldie,VA,20105,39459 John Mosbey HWY,,PO Box 366,Aldie,VA,20105,(703) 327-6712,(703) 327-0202,LOUDOUN                  ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,3,24,0,0,4,
291,Aldine Fire & Rescue,1009 Aldine Bender RD,,Houston,TX,77032,1009 Aldine Bender RD,,,Houston,TX,77032,(281) 590-8184,,HARRIS                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.aldinefire.com/,2,15,0,26,1,0,
292,Aledo Fire Protection District,202 NE 2nd  ST,PO Box 148,Aledo,IL,61231,202 NE 2nd  ST,,PO Box 148,Aledo,IL,61231,(309) 582-2208,(309) 582-2208,MERCER                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,
293,Aledo Volunteer Fire Department,215 Mesquite TRL,,Aledo,TX,76008,,,PO Box 100,Aledo,TX,76008,817-441-7284,817-441-6782,PARKER                   ,Volunteer,Local (includes career  combination  and volunteer),,2,0,28,0,0,0,
294,Aleknagih Volunteer Fire Department,2189 Fish ST,PO Box 33,Aleknagih,AK,99555,2189 Fish ST,,PO Box 33,Aleknagih,AK,99555,(907) 842-2189,(907) 842-3856,DILLINGHAM               ,Volunteer,Local (includes career  combination  and volunteer),,2,0,17,0,4,7,
295,Alert Engine Hook & Ladder & Hose CO #1,555 Middle Neck RD,,Great Neck,NY,11023,555 Middle Neck RD,,,Great Neck,NY,11023,(516) 487-1057,(516) 487-1045,NASSAU                   ,Volunteer,Local (includes career  combination  and volunteer),,2,0,140,0,0,0,
296,Alex Volunteer Fire Department,201 N Main ST,PO Box 27,Alex,OK,73002,,,PO Box 27,Alex,OK,73002-0027,(405) 785-2393,(405) 785-9963,GRADY                    ,Volunteer,Local (includes career  combination  and volunteer),,2,0,11,0,0,0,
